ID,age,state,city,gender,education,salaryinthousands,race,year,marital_status
63,56,Florida,Pensacola,Female,Master’s degree,85,Native Hawaiian or Other Pacific Islander,2011,Single
64,64,Texas,Pollo,Male,Master’s degree,85,Native Hawaiian or Other Pacific Islander,2012,Divorced
65,25,Michigan,Three Oas,Male,Associate degree,55,Asian,2014,Separated
66,21,Virginia,Battery Par,Male,Master’s degree,85,Native Hawaiian or Other Pacific Islander,2011,Married
67,49,Texas,Rio Hondo,Male,High school diploma or equivalent,45,Blac or African American,2016,Married
68,77,New Yor,Mongaup Valley,Male,Bachelor’s degree,215,Native Hawaiian or Other Pacific Islander,2010,Divorced
69,38,Nevada,Montello,Female,Master’s degree,215,Native Hawaiian or Other Pacific Islander,2015,Separated
70,69,Arizona,Tucson,Male,"Some college, no degree",145,Blac or African American,2016,Divorced
71,34,New Yor,Circleville,Female,Master’s degree,75,White,2020,Married
72,61,Ohio,Stoutsville,Male,Associate degree,65,Native Hawaiian or Other Pacific Islander,2013,Married
73,52,Texas,Pandora,Male,Associate degree,85,Blac or African American,2016,Married
74,36,Washington,Tacoma,Female,"Some college, no degree",75,American Indian or Alasa Native,2016,Single
75,70,Virginia,Richmond,Male,Less than high school,215,Blac or African American,2022,Divorced
76,26,North Carolina,Franlinton,Male,Master’s degree,215,Blac or African American,2020,Married
77,75,Wisconsin,Milwauee,Female,Master’s degree,185,Blac or African American,2018,Single
78,47,Florida,Lae Butter,Female,High school diploma or equivalent,215,Native Hawaiian or Other Pacific Islander,2015,Married
79,20,Texas,Odessa,Female,Master’s degree,35,Native Hawaiian or Other Pacific Islander,2011,Married
80,57,Olahoma,Olahoma City,Male,Bachelor’s degree,145,White,2022,Married
81,61,Hawaii,Hanapepe,Female,Doctoral degree,55,American Indian or Alasa Native,2019,Married
82,45,Wisconsin,Bryant,Male,"Some college, no degree",215,Native Hawaiian or Other Pacific Islander,2014,Divorced
83,33,Massachusetts,Fall River,Female,Associate degree,65,White,2017,Divorced
84,72,California,Anaheim,Male,Doctoral degree,285,Native Hawaiian or Other Pacific Islander,2012,Married
85,69,Colorado,Colorado Springs,Male,Doctoral degree,165,Native Hawaiian or Other Pacific Islander,2015,Divorced
86,49,entucy,Lexington,Female,High school diploma or equivalent,85,Native Hawaiian or Other Pacific Islander,2016,Married
87,77,Ohio,Cleveland,Male,High school diploma or equivalent,85,White,2013,Married
88,59,Michigan,Belleville,Female,Doctoral degree,245,Native Hawaiian or Other Pacific Islander,2011,Married
89,63,Tennessee,yles Ford,Male,Doctoral degree,245,Blac or African American,2019,Separated
90,24,Pennsylvania,Mertztown,Female,Bachelor’s degree,165,Asian,2021,Single
91,69,Ohio,Hooven,Female,Doctoral degree,125,White,2013,Separated
92,55,New Yor,New Yor,Male,Doctoral degree,95,Native Hawaiian or Other Pacific Islander,2022,Married
93,26,Georgia,Augusta,Female,"Some college, no degree",245,Blac or African American,2020,Divorced
94,56,Minnesota,Spring Par,Male,Bachelor’s degree,215,White,2021,Separated
95,65,Missouri,Sheridan,Female,Master’s degree,45,Native Hawaiian or Other Pacific Islander,2012,Married
96,31,Michigan,Royal Oa,Male,Less than high school,215,Blac or African American,2010,Divorced
97,22,Alabama,Montgomery,Female,High school diploma or equivalent,285,White,2017,Divorced
98,18,Olahoma,Manitou,Male,Bachelor’s degree,65,Blac or African American,2020,Single
99,66,Pennsylvania,Wattsburg,Male,"Some college, no degree",165,Asian,2013,Separated
100,41,Colorado,Coal Cree,Female,Master’s degree,45,Asian,2022,Married
101,69,Texas,Rowena,Female,Master’s degree,75,White,2010,Married
102,45,Missouri,Marble Hill,Female,High school diploma or equivalent,105,White,2010,Separated
103,57,Alabama,Bynum,Male,Associate degree,65,Native Hawaiian or Other Pacific Islander,2017,Separated
104,66,ansas,Eudora,Male,Master’s degree,85,White,2020,Married
105,60,Wyoming,Jeffrey City,Female,Less than high school,55,Asian,2012,Single
106,47,Michigan,Menominee,Male,"Some college, no degree",45,Blac or African American,2013,Married
107,20,Puerto Rico,Roosevelt Roads,Female,Doctoral degree,285,White,2016,Divorced
108,71,New Jersey,Newar,Female,Bachelor’s degree,215,Native Hawaiian or Other Pacific Islander,2012,Married
109,63,Iowa,Moulton,Female,Master’s degree,75,Native Hawaiian or Other Pacific Islander,2021,Married
110,76,Iowa,Des Moines,Female,Doctoral degree,75,Native Hawaiian or Other Pacific Islander,2011,Married
111,59,Florida,Jacsonville,Female,Less than high school,95,Native Hawaiian or Other Pacific Islander,2017,Divorced
112,37,Texas,Fruitvale,Female,Bachelor’s degree,65,White,2016,Married
113,51,New Yor,eeseville,Female,"Some college, no degree",55,Blac or African American,2018,Married
114,19,Texas,Alto,Female,Associate degree,215,Native Hawaiian or Other Pacific Islander,2018,Married
115,63,Wisconsin,Lyons,Female,Bachelor’s degree,65,Native Hawaiian or Other Pacific Islander,2020,Married
116,42,California,Tahoe Vista,Male,High school diploma or equivalent,35,Native Hawaiian or Other Pacific Islander,2017,Single
117,66,Louisiana,Mangham,Female,"Some college, no degree",95,Blac or African American,2019,Single
118,72,Alabama,Pine Apple,Female,Less than high school,75,White,2012,Married
119,75,California,Fresno,Female,High school diploma or equivalent,215,White,2017,Separated
120,53,New Yor,Tappan,Female,Doctoral degree,215,American Indian or Alasa Native,2010,Single
121,47,Maine,Bradley,Male,Master’s degree,215,Blac or African American,2017,Married
122,64,Pennsylvania,Aldenville,Female,Master’s degree,145,Blac or African American,2022,Divorced
123,36,Louisiana,Angola,Male,Bachelor’s degree,75,White,2019,Single
124,75,Pennsylvania,Pittsburgh,Female,Doctoral degree,45,Asian,2012,Married
125,23,Connecticut,Ledyard,Female,Associate degree,45,Asian,2012,Married
126,53,Montana,Geraldine,Male,"Some college, no degree",245,White,2020,Married
127,24,Michigan,Hopins,Female,High school diploma or equivalent,75,White,2014,Divorced
128,75,Illinois,Clay City,Female,Less than high school,215,Native Hawaiian or Other Pacific Islander,2013,Single
129,22,Massachusetts,Fall River,Male,"Some college, no degree",185,White,2021,Divorced
130,63,Illinois,Opdye,Female,Bachelor’s degree,245,Native Hawaiian or Other Pacific Islander,2019,Divorced
131,73,Texas,Houston,Male,"Some college, no degree",85,Blac or African American,2020,Divorced
132,35,Tennessee,Spring Hill,Female,Master’s degree,65,Asian,2017,Married
133,29,California,Redwood City,Male,Master’s degree,85,White,2022,Single
134,20,Wisconsin,Madison,Female,Less than high school,65,American Indian or Alasa Native,2017,Divorced
135,45,Pennsylvania,Paxinos,Female,Doctoral degree,145,White,2012,Divorced
136,60,New Yor,Flushing,Male,Master’s degree,75,Native Hawaiian or Other Pacific Islander,2015,Divorced
137,23,Texas,Fort Worth,Female,Less than high school,75,Native Hawaiian or Other Pacific Islander,2022,Divorced
138,68,Texas,Barstow,Male,Master’s degree,165,White,2015,Single
139,63,Pennsylvania,Hopewell,Female,High school diploma or equivalent,75,Asian,2010,Married
140,47,Massachusetts,Lynn,Male,"Some college, no degree",45,Native Hawaiian or Other Pacific Islander,2014,Married
141,45,Indiana,Santa Claus,Female,Less than high school,185,White,2013,Divorced
142,21,Colorado,Littleton,Female,"Some college, no degree",45,White,2010,Divorced
143,24,West Virginia,Charleston,Male,Bachelor’s degree,145,Blac or African American,2014,Married
144,62,Ohio,Perrysville,Female,Bachelor’s degree,125,Native Hawaiian or Other Pacific Islander,2016,Married
145,36,Ohio,North Benton,Female,Less than high school,215,Native Hawaiian or Other Pacific Islander,2017,Divorced
146,68,Louisiana,Echo,Male,Associate degree,95,Asian,2010,Divorced
147,55,Louisiana,Marion,Male,High school diploma or equivalent,95,Native Hawaiian or Other Pacific Islander,2013,Single
148,53,Missouri,Tiff City,Female,High school diploma or equivalent,45,American Indian or Alasa Native,2012,Married
149,39,Illinois,Washburn,Female,Master’s degree,245,Blac or African American,2021,Married
150,46,Tennessee,Saint Andrews,Female,Doctoral degree,35,Native Hawaiian or Other Pacific Islander,2017,Married
151,71,Missouri,Stanberry,Male,Master’s degree,75,Native Hawaiian or Other Pacific Islander,2013,Single
152,40,Georgia,Dallas,Female,High school diploma or equivalent,125,Native Hawaiian or Other Pacific Islander,2010,Married
153,62,California,Downey,Male,Bachelor’s degree,85,Native Hawaiian or Other Pacific Islander,2014,Separated
154,75,Arizona,Chinle,Male,"Some college, no degree",245,Asian,2013,Married
155,39,Minnesota,Watins,Female,Doctoral degree,85,Native Hawaiian or Other Pacific Islander,2012,Married
156,35,Wyoming,Fort Laramie,Male,Associate degree,105,Native Hawaiian or Other Pacific Islander,2011,Married
157,42,Maryland,Loveville,Male,"Some college, no degree",285,White,2010,Separated
158,47,Pennsylvania,Nu Mine,Male,Doctoral degree,65,Native Hawaiian or Other Pacific Islander,2020,Married
159,42,Maryland,Hagerstown,Female,Master’s degree,105,Native Hawaiian or Other Pacific Islander,2018,Married
160,23,California,Riverban,Male,Bachelor’s degree,285,White,2019,Married
161,68,South Daota,Sturgis,Female,"Some college, no degree",185,White,2022,Divorced
162,32,West Virginia,Baerton,Male,Doctoral degree,125,Native Hawaiian or Other Pacific Islander,2010,Divorced
163,32,Massachusetts,Brighton,Female,Associate degree,55,American Indian or Alasa Native,2014,Single
164,40,West Virginia,Newell,Female,High school diploma or equivalent,65,Asian,2013,Divorced
165,18,Missouri,ansas City,Male,"Some college, no degree",45,Asian,2013,Single
166,64,Ohio,Westville,Male,Master’s degree,75,Blac or African American,2020,Divorced
167,75,California,ettleman City,Male,Less than high school,125,Asian,2020,Married
168,60,New Jersey,Richwood,Female,High school diploma or equivalent,285,Native Hawaiian or Other Pacific Islander,2020,Married
169,44,Texas,Beaumont,Female,Associate degree,35,Asian,2013,Married
170,46,Washington,Springdale,Female,"Some college, no degree",145,White,2021,Divorced
171,18,Florida,Lady Lae,Female,Associate degree,125,Native Hawaiian or Other Pacific Islander,2014,Married
172,43,Ohio,McClure,Female,Associate degree,35,Native Hawaiian or Other Pacific Islander,2010,Single
173,45,Alabama,Florence,Female,"Some college, no degree",95,Native Hawaiian or Other Pacific Islander,2012,Divorced
174,59,entucy,Mize,Female,Bachelor’s degree,95,White,2015,Single
175,20,Washington,Taholah,Female,Master’s degree,45,Asian,2021,Divorced
176,43,Minnesota,Saint Paul,Male,Master’s degree,245,White,2012,Married
177,63,Texas,Carrollton,Male,High school diploma or equivalent,35,American Indian or Alasa Native,2019,Single
178,62,North Carolina,Jacson,Male,Less than high school,215,Native Hawaiian or Other Pacific Islander,2014,Separated
179,69,South Daota,Marvin,Female,High school diploma or equivalent,65,Native Hawaiian or Other Pacific Islander,2020,Divorced
180,61,New Jersey,Browns Mills,Female,Bachelor’s degree,125,White,2014,Married
181,45,West Virginia,Terra Alta,Female,Doctoral degree,105,Native Hawaiian or Other Pacific Islander,2010,Married
182,58,Georgia,Irwinville,Male,Bachelor’s degree,185,Native Hawaiian or Other Pacific Islander,2011,Married
183,38,ansas,Sodville,Female,Doctoral degree,215,White,2017,Single
184,77,Virginia,Powhatan,Female,Less than high school,165,Asian,2012,Separated
185,76,New Yor,Islandia,Female,High school diploma or equivalent,215,Native Hawaiian or Other Pacific Islander,2015,Divorced
186,22,Oregon,Portland,Male,Associate degree,105,White,2013,Married
187,71,Mississippi,Nicholson,Male,"Some college, no degree",285,Native Hawaiian or Other Pacific Islander,2016,Married
188,76,New Yor,Milton,Male,High school diploma or equivalent,145,Native Hawaiian or Other Pacific Islander,2021,Divorced
189,49,New Jersey,Buena,Female,High school diploma or equivalent,35,Blac or African American,2015,Single
190,33,West Virginia,Peterstown,Female,Bachelor’s degree,105,Native Hawaiian or Other Pacific Islander,2010,Divorced
191,24,Ohio,Jerusalem,Male,Doctoral degree,45,Native Hawaiian or Other Pacific Islander,2021,Divorced
192,28,New Yor,Sayville,Female,Less than high school,105,White,2014,Married
193,32,Michigan,Flint,Female,"Some college, no degree",55,White,2012,Separated
194,54,Texas,Arlington,Female,High school diploma or equivalent,245,White,2012,Married
195,63,Maryland,El Mills,Female,"Some college, no degree",165,Blac or African American,2010,Separated
196,25,Colorado,Colorado Springs,Female,Doctoral degree,55,White,2010,Divorced
197,77,California,Sacramento,Male,Doctoral degree,105,Blac or African American,2020,Married
198,52,Missouri,ansas City,Female,Master’s degree,75,Blac or African American,2011,Married
199,23,New Hampshire,Whitefield,Female,Associate degree,145,White,2016,Married
200,32,New Yor,Hamlin,Male,Bachelor’s degree,45,Native Hawaiian or Other Pacific Islander,2015,Single
201,69,Ohio,Findlay,Female,"Some college, no degree",185,Native Hawaiian or Other Pacific Islander,2022,Married
202,50,Puerto Rico,Fajardo,Male,Associate degree,105,Native Hawaiian or Other Pacific Islander,2013,Married
203,20,Utah,Hyde Par,Female,Associate degree,45,American Indian or Alasa Native,2010,Married
204,27,Georgia,Collins,Female,"Some college, no degree",85,Blac or African American,2017,Single
205,46,Utah,Cache Junction,Male,Doctoral degree,95,Native Hawaiian or Other Pacific Islander,2014,Married
206,70,West Virginia,Durbin,Male,Bachelor’s degree,105,Native Hawaiian or Other Pacific Islander,2012,Single
207,50,Iowa,Churdan,Male,Doctoral degree,35,White,2016,Single
208,71,Illinois,Roc Island,Male,Bachelor’s degree,95,White,2016,Single
209,56,New Yor,Syracuse,Female,"Some college, no degree",65,White,2010,Married
210,59,Wisconsin,Scandinavia,Male,High school diploma or equivalent,125,Asian,2010,Divorced
211,77,Texas,Austin,Male,High school diploma or equivalent,95,Blac or African American,2016,Divorced
212,18,New Jersey,Egg Harbor Township,Female,Master’s degree,95,Native Hawaiian or Other Pacific Islander,2022,Divorced
213,69,Washington,Snohomish,Male,"Some college, no degree",75,Blac or African American,2011,Married
214,43,Florida,Miami,Female,High school diploma or equivalent,185,Native Hawaiian or Other Pacific Islander,2010,Divorced
215,38,Utah,Dammeron Valley,Female,Master’s degree,285,White,2015,Divorced
216,63,Texas,Denton,Male,Bachelor’s degree,65,Native Hawaiian or Other Pacific Islander,2021,Divorced
217,65,Florida,Tampa,Female,Master’s degree,145,White,2017,Married
218,55,Colorado,Ecley,Male,High school diploma or equivalent,75,White,2019,Single
219,64,Louisiana,Leesville,Female,Bachelor’s degree,245,Blac or African American,2021,Divorced
220,63,Iowa,Oaland,Female,High school diploma or equivalent,95,Asian,2017,Single
221,68,Washington,Tacoma,Female,"Some college, no degree",215,Blac or African American,2011,Divorced
222,34,Pennsylvania,Arcola,Female,"Some college, no degree",105,Blac or African American,2014,Single
223,32,ansas,Hesston,Male,Associate degree,35,Native Hawaiian or Other Pacific Islander,2019,Divorced
224,77,Texas,Lopeno,Female,High school diploma or equivalent,215,Asian,2017,Single
225,57,Virginia,Ft Myer,Female,Master’s degree,285,Native Hawaiian or Other Pacific Islander,2017,Married
226,22,California,San Diego,Female,Associate degree,35,Blac or African American,2015,Divorced
227,25,Texas,Richland,Female,Bachelor’s degree,45,Native Hawaiian or Other Pacific Islander,2014,Married
228,33,Georgia,Pavo,Male,Doctoral degree,165,Native Hawaiian or Other Pacific Islander,2018,Married
229,28,Alabama,Centre,Male,"Some college, no degree",125,White,2010,Married
230,57,North Carolina,Stovall,Female,Bachelor’s degree,65,Native Hawaiian or Other Pacific Islander,2015,Single
231,71,New Yor,Pawling,Male,Less than high school,285,White,2020,Widowed
232,70,Washington,Spoane,Male,Bachelor’s degree,215,White,2012,Single
233,54,Indiana,Indianapolis,Female,Bachelor’s degree,185,White,2015,Divorced
234,36,Iowa,Quimby,Male,Less than high school,165,White,2018,Single
235,22,New Hampshire,Dover,Female,Associate degree,35,White,2011,Married
236,46,North Daota,Cathay,Female,Less than high school,105,White,2017,Single
237,33,Michigan,Vassar,Female,Associate degree,45,Native Hawaiian or Other Pacific Islander,2013,Married
238,20,New Yor,Coeymans Hollow,Female,Associate degree,285,Asian,2016,Divorced
239,18,New Yor,Allegany,Female,"Some college, no degree",85,White,2019,Married
240,37,Georgia,Pine Lae,Female,Doctoral degree,185,White,2016,Married
241,56,Michigan,Musegon,Male,Associate degree,85,White,2010,Married
242,37,Michigan,El Rapids,Male,Associate degree,245,Native Hawaiian or Other Pacific Islander,2014,Separated
243,27,Minnesota,Hopins,Male,"Some college, no degree",85,Native Hawaiian or Other Pacific Islander,2014,Single
244,40,Tennessee,Palmyra,Female,Associate degree,145,White,2012,Divorced
245,72,Vermont,Huntington,Male,Doctoral degree,95,Native Hawaiian or Other Pacific Islander,2015,Widowed
246,56,New Yor,White Plains,Female,Master’s degree,55,American Indian or Alasa Native,2017,Married
247,77,Texas,San Antonio,Male,Master’s degree,125,Blac or African American,2018,Married
248,42,Missouri,Odessa,Male,High school diploma or equivalent,45,White,2020,Married
249,70,South Daota,Mission,Male,Doctoral degree,95,Blac or African American,2021,Divorced
250,50,Georgia,Attapulgus,Female,Associate degree,35,Native Hawaiian or Other Pacific Islander,2011,Married
251,24,Pennsylvania,Wendel,Male,Associate degree,35,White,2019,Separated
252,38,North Daota,Buxton,Male,"Some college, no degree",45,White,2018,Separated
253,61,Idaho,Howe,Female,"Some college, no degree",65,Blac or African American,2011,Married
254,38,Iowa,New Hampton,Male,Bachelor’s degree,245,American Indian or Alasa Native,2014,Single
255,61,Texas,Savoy,Male,Less than high school,165,Blac or African American,2010,Single
256,39,Vermont,Waitsfield,Male,Master’s degree,185,White,2019,Married
257,47,Ohio,Waynesburg,Female,High school diploma or equivalent,55,Native Hawaiian or Other Pacific Islander,2011,Single
258,31,Arizona,Fort Huachuca,Female,"Some college, no degree",285,Native Hawaiian or Other Pacific Islander,2017,Single
259,71,Florida,Orlando,Male,Associate degree,45,Blac or African American,2021,Married
260,20,Ohio,Hamilton,Male,Associate degree,165,,2020,Divorced
261,53,Massachusetts,,Female,Master’s degree,285,,2014,Single
262,36,California,Yettem,Female,Master’s degree,85,,2014,Widowed
263,62,Virginia,Chincoteague Island,Female,Master’s degree,75,,2017,Widowed
264,40,Idaho,Ucon,Male,Associate degree,65,,2011,Divorced
265,56,Oregon,Princeton,Female,Bachelor’s degree,95,,2015,Married
266,59,Louisiana,Cecilia,Female,High school diploma or equivalent,35,,2021,Married
267,21,Massachusetts,Dalton,Female,Less than high school,245,Native Hawaiian or Other Pacific Islander,2020,Single
268,77,New Mexico,Williamsburg,Female,High school diploma or equivalent,145,Native Hawaiian or Other Pacific Islander,2018,Single
269,59,entucy,Huntsville,Male,"Some college, no degree",105,Asian,2011,Divorced
270,23,Washington,Muilteo,Male,"Some college, no degree",35,American Indian or Alasa Native,2013,Single
271,67,California,San Diego,Male,Bachelor’s degree,75,White,2022,Single
272,77,New Yor,Adirondac,Male,Doctoral degree,185,White,2013,Married
273,70,Olahoma,Guymon,Male,Less than high school,45,White,2011,Divorced
274,64,Florida,Orlando,Male,High school diploma or equivalent,65,White,2011,Married
275,68,Ohio,Dayton,Female,Associate degree,245,Blac or African American,2020,Separated
276,31,Washington,Bellevue,Male,Associate degree,45,Blac or African American,2013,Married
277,56,Massachusetts,Still River,Female,Less than high school,125,Asian,2016,Married
278,51,West Virginia,Mallory,Female,Doctoral degree,165,Native Hawaiian or Other Pacific Islander,2016,Separated
279,33,Iowa,Ely,Female,Master’s degree,35,Blac or African American,2019,Married
280,72,Florida,Crystal Beach,Male,High school diploma or equivalent,245,Blac or African American,2021,Married
281,49,Texas,Barnhart,Male,Bachelor’s degree,185,Blac or African American,2015,Divorced
282,66,Iowa,Monmouth,Female,Master’s degree,95,Native Hawaiian or Other Pacific Islander,2018,Married
283,48,Oregon,Mount Vernon,Male,Bachelor’s degree,165,Native Hawaiian or Other Pacific Islander,2013,Married
284,38,Montana,Roy,Male,Associate degree,165,Native Hawaiian or Other Pacific Islander,2015,Divorced
285,59,Aransas,Carlisle,Female,Doctoral degree,245,Native Hawaiian or Other Pacific Islander,2019,Married
286,21,California,Williams,Female,Less than high school,165,Blac or African American,2019,Single
287,42,New Jersey,Pine Beach,Male,Master’s degree,55,Blac or African American,2019,Married
288,36,California,Sacramento,Female,Doctoral degree,125,Blac or African American,2018,Single
289,47,Louisiana,Belmont,Male,Bachelor’s degree,65,Asian,2018,Married
290,69,New Jersey,Avalon,Male,Doctoral degree,85,Native Hawaiian or Other Pacific Islander,2015,Single
291,36,Minnesota,Young America,Female,Less than high school,65,White,2016,Single
292,55,Virginia,Blacsburg,Female,Master’s degree,215,Asian,2015,Married
293,73,Iowa,New Providence,Male,Associate degree,245,Native Hawaiian or Other Pacific Islander,2017,Single
294,40,California,Burban,Female,Bachelor’s degree,45,White,2011,Single
295,59,Pennsylvania,Derric City,Female,Less than high school,185,American Indian or Alasa Native,2012,Widowed
296,42,Aransas,Batesville,Male,Associate degree,215,White,2018,Married
297,67,Virginia,Bristow,Female,Bachelor’s degree,165,Native Hawaiian or Other Pacific Islander,2018,Married
298,64,West Virginia,Piney View,Female,Bachelor’s degree,45,White,2010,Divorced
299,73,Florida,Sun City Center,Female,"Some college, no degree",75,Native Hawaiian or Other Pacific Islander,2019,Single
300,28,West Virginia,Shans,Female,Less than high school,165,Asian,2013,Single
301,69,Olahoma,Frederic,Male,"Some college, no degree",45,Native Hawaiian or Other Pacific Islander,2018,Divorced
302,19,Iowa,Orchard,Female,Doctoral degree,85,American Indian or Alasa Native,2011,Separated
303,65,South Daota,Bethlehem,Female,Master’s degree,35,White,2020,Married
304,38,Illinois,Bluff Springs,Male,Doctoral degree,215,Native Hawaiian or Other Pacific Islander,2021,Divorced
305,55,Texas,Pasadena,Female,"Some college, no degree",285,Blac or African American,2014,Married
306,36,Indiana,Williamsburg,Female,High school diploma or equivalent,55,Asian,2014,Married
307,48,Wisconsin,icapoo,Male,Bachelor’s degree,185,Blac or African American,2017,Married
308,50,Texas,Archer City,Female,High school diploma or equivalent,165,White,2016,Divorced
309,28,North Carolina,Hicory,Male,Doctoral degree,55,Blac or African American,2012,Married
310,36,Pennsylvania,Fredericsburg,Male,Associate degree,75,American Indian or Alasa Native,2018,Widowed
311,47,Ohio,Springfield,Male,High school diploma or equivalent,285,White,2014,Single
312,65,Iowa,Dolliver,Female,Associate degree,185,American Indian or Alasa Native,2012,Divorced
313,47,New Mexico,Canones,Male,High school diploma or equivalent,185,White,2012,Married
314,30,Pennsylvania,irwood,Female,Bachelor’s degree,55,Native Hawaiian or Other Pacific Islander,2018,Divorced
315,24,Texas,Conroe,Male,Doctoral degree,75,White,2015,Married
316,47,Massachusetts,Haverhill,Male,Master’s degree,185,Blac or African American,2019,Divorced
317,36,Virginia,Vienna,Male,Less than high school,45,Native Hawaiian or Other Pacific Islander,2018,Widowed
318,29,Louisiana,Violet,Male,"Some college, no degree",145,Native Hawaiian or Other Pacific Islander,2018,Single
